Sample number,Total handshake duration (s),Total handshake packets,Total handshake size (B),Time MasterInformationBlock (s),Time SIB1 (s),Time SIB2 SIB3 (s),Time RRCConnectionRequest (s),Time RRCConnectionSetup (s),Time RRCConnectionSetupComplete (s),Size MasterInformationBlock (B),Size SIB1 (B),Size SIB2 SIB3 (B),Size RRCConnectionRequest (B),Size RRCConnectionSetup (B),Size RRCConnectionSetupComplete (B),
371,0.3191800117492676,7,602,0.0,0.06388092041015625,0.2536029815673828,0.27581000328063965,0.28763604164123535,0.3191800117492676,37,147,75,41,66,191,
372,0.321976900100708,7,602,0.0,0.06384491920471191,0.2536900043487549,0.27791285514831543,0.29098987579345703,0.321976900100708,37,147,75,41,66,191,
373,0.3211400508880615,7,602,0.0,0.06360197067260742,0.2547299861907959,0.2768678665161133,0.28938794136047363,0.3211400508880615,37,147,75,41,66,191,
374,0.31897616386413574,7,602,0.0,0.06398296356201172,0.25356197357177734,0.27570009231567383,0.2878890037536621,0.31897616386413574,37,147,75,41,66,191,
375,0.3202168941497803,7,602,0.0,0.06433987617492676,0.25466394424438477,0.27670979499816895,0.2894399166107178,0.3202168941497803,37,147,75,41,66,191,
376,0.32419610023498535,7,602,0.0,0.06348395347595215,0.2536129951477051,0.2807440757751465,0.29216909408569336,0.32419610023498535,37,147,75,41,66,191,
377,0.32091188430786133,7,602,0.0,0.0653378963470459,0.25550293922424316,0.2776808738708496,0.29085397720336914,0.32091188430786133,37,147,75,41,66,191,
378,0.31801819801330566,7,602,0.0,0.06372499465942383,0.2534630298614502,0.2756350040435791,0.2873411178588867,0.31801819801330566,37,147,75,41,66,191,
379,0.3208498954772949,7,602,0.0,0.06389284133911133,0.25348997116088867,0.27623796463012695,0.2882540225982666,0.3208498954772949,37,147,75,41,66,191,
380,0.3188159465789795,7,602,0.0,0.0635688304901123,0.25305891036987305,0.2751920223236084,0.28708887100219727,0.3188159465789795,37,147,75,41,66,191,
381,0.3188481330871582,7,602,0.0,0.06376099586486816,0.2536940574645996,0.27580904960632324,0.28749918937683105,0.3188481330871582,37,147,75,41,66,191,
382,0.32143115997314453,7,602,0.0,0.06776213645935059,0.25778698921203613,0.2798340320587158,0.29264211654663086,0.32143115997314453,37,147,75,41,66,191,
383,0.32548093795776367,7,602,0.0,0.06403303146362305,0.25383591651916504,0.2770378589630127,0.2934718132019043,0.32548093795776367,37,147,75,41,66,191,
384,0.3189969062805176,7,602,0.0,0.06515693664550781,0.25513386726379395,0.27722692489624023,0.2908809185028076,0.3189969062805176,37,147,75,41,66,191,
385,0.31925010681152344,7,602,0.0,0.0642549991607666,0.25414395332336426,0.276216983795166,0.28957509994506836,0.31925010681152344,37,147,75,41,66,191,
386,0.32033300399780273,7,602,0.0,0.06382989883422852,0.2537407875061035,0.2758829593658447,0.28757286071777344,0.32033300399780273,37,147,75,41,66,191,
387,0.321091890335083,7,602,0.0,0.06421899795532227,0.2539639472961426,0.27608585357666016,0.28884387016296387,0.321091890335083,37,147,75,41,66,191,
388,0.31842613220214844,7,602,0.0,0.06349492073059082,0.2534041404724121,0.2754840850830078,0.28844308853149414,0.31842613220214844,37,147,75,41,66,191,
389,0.3205881118774414,7,602,0.0,0.06340503692626953,0.2533071041107178,0.2754662036895752,0.2872631549835205,0.3205881118774414,37,147,75,41,66,191,
390,0.3258230686187744,7,602,0.0,0.0635840892791748,0.25322413444519043,0.28406214714050293,0.29453110694885254,0.3258230686187744,37,147,75,41,66,191,
391,0.32843995094299316,7,602,0.0,0.06406211853027344,0.25401806831359863,0.28398799896240234,0.2948720455169678,0.32843995094299316,37,147,75,41,66,191,
392,0.3326549530029297,7,602,0.0,0.06400299072265625,0.2690610885620117,0.2911999225616455,0.3030359745025635,0.3326549530029297,37,147,75,41,66,191,
393,0.3221018314361572,7,602,0.0,0.06415700912475586,0.25411391258239746,0.2793419361114502,0.2912428379058838,0.3221018314361572,37,147,75,41,66,191,
394,0.3191359043121338,7,602,0.0,0.06419587135314941,0.25426387786865234,0.27635884284973145,0.2881128787994385,0.3191359043121338,37,147,75,41,66,191,
395,0.3238840103149414,7,602,0.0,0.06404399871826172,0.2541971206665039,0.27968406677246094,0.291672945022583,0.3238840103149414,37,147,75,41,66,191,
396,0.3207859992980957,7,602,0.0,0.06417703628540039,0.2540700435638428,0.2761528491973877,0.28922104835510254,0.3207859992980957,37,147,75,41,66,191,
397,0.32132411003112793,7,602,0.0,0.0643150806427002,0.25457310676574707,0.276684045791626,0.2885420322418213,0.32132411003112793,37,147,75,41,66,191,
398,0.31755995750427246,7,602,0.0,0.0641469955444336,0.2541329860687256,0.2763478755950928,0.28830480575561523,0.31755995750427246,37,147,75,41,66,191,
399,0.3174550533294678,7,602,0.0,0.0635671615600586,0.25360798835754395,0.2757890224456787,0.2874891757965088,0.3174550533294678,37,147,75,41,66,191,
400,0.3192169666290283,7,602,0.0,0.06371116638183594,0.2532351016998291,0.27547597885131836,0.28716111183166504,0.3192169666290283,37,147,75,41,66,191,
401,0.320188045501709,7,602,0.0,0.06366205215454102,0.2537860870361328,0.27589988708496094,0.28915905952453613,0.320188045501709,37,147,75,41,66,191,
402,0.31929898262023926,7,602,0.0,0.06419897079467773,0.25444698333740234,0.27654004096984863,0.28826093673706055,0.31929898262023926,37,147,75,41,66,191,
403,0.31713008880615234,7,602,0.0,0.06391215324401855,0.2539989948272705,0.276155948638916,0.28786301612854004,0.31713008880615234,37,147,75,41,66,191,
404,0.3187241554260254,7,602,0.0,0.06386899948120117,0.25344395637512207,0.27561497688293457,0.28749704360961914,0.3187241554260254,37,147,75,41,66,191,
405,0.32438111305236816,7,602,0.0,0.06816697120666504,0.2582690715789795,0.2803499698638916,0.2934908866882324,0.32438111305236816,37,147,75,41,66,191,
406,0.3194398880004883,7,602,0.0,0.06413483619689941,0.2537209987640381,0.2758619785308838,0.2884249687194824,0.3194398880004883,37,147,75,41,66,191,
407,0.3204929828643799,7,602,0.0,0.06342005729675293,0.25316905975341797,0.27599000930786133,0.2882840633392334,0.3204929828643799,37,147,75,41,66,191,
408,0.320540189743042,7,602,0.0,0.06409621238708496,0.25420713424682617,0.27638912200927734,0.28823113441467285,0.320540189743042,37,147,75,41,66,191,
409,0.3239738941192627,7,602,0.0,0.06397795677185059,0.25414490699768066,0.2793450355529785,0.29123497009277344,0.3239738941192627,37,147,75,41,66,191,
410,0.3209998607635498,7,602,0.0,0.0641169548034668,0.25414299964904785,0.27823901176452637,0.2912929058074951,0.3209998607635498,37,147,75,41,66,191,
411,0.3226900100708008,7,602,0.0,0.06395196914672852,0.2536749839782715,0.2758669853210449,0.2893650531768799,0.3226900100708008,37,147,75,41,66,191,
412,0.32222700119018555,7,602,0.0,0.06341099739074707,0.25327205657958984,0.2785830497741699,0.29041194915771484,0.32222700119018555,37,147,75,41,66,191,
413,0.32877612113952637,7,602,0.0,0.06401515007019043,0.26337218284606934,0.28545498847961426,0.2992441654205322,0.32877612113952637,37,147,75,41,66,191,
414,0.32225704193115234,7,602,0.0,0.06400012969970703,0.25421810150146484,0.2763519287109375,0.28797292709350586,0.32225704193115234,37,147,75,41,66,191,
415,0.3190579414367676,7,602,0.0,0.06403684616088867,0.25395798683166504,0.27614498138427734,0.28993988037109375,0.3190579414367676,37,147,75,41,66,191,
416,0.3173651695251465,7,602,0.0,0.06406307220458984,0.25389719009399414,0.27586913108825684,0.2881810665130615,0.3173651695251465,37,147,75,41,66,191,
417,0.3189671039581299,7,602,0.0,0.06367611885070801,0.25365495681762695,0.2757720947265625,0.28768110275268555,0.3189671039581299,37,147,75,41,66,191,
418,0.3188478946685791,7,602,0.0,0.06389999389648438,0.2536458969116211,0.2758159637451172,0.2873849868774414,0.3188478946685791,37,147,75,41,66,191,
419,0.3205220699310303,7,602,0.0,0.08745312690734863,0.2541491985321045,0.2761530876159668,0.2904081344604492,0.3205220699310303,37,147,75,41,66,191,
420,0.31909704208374023,7,602,0.0,0.06378984451293945,0.25353503227233887,0.27572083473205566,0.2875649929046631,0.31909704208374023,37,147,75,41,66,191,
421,0.3251180648803711,7,602,0.0,0.06402802467346191,0.25390005111694336,0.281217098236084,0.29467296600341797,0.3251180648803711,37,147,75,41,66,191,
422,0.3227250576019287,7,602,0.0,0.06408500671386719,0.2537190914154053,0.28017616271972656,0.2923741340637207,0.3227250576019287,37,147,75,41,66,191,
423,0.3224649429321289,7,602,0.0,0.06355094909667969,0.2533888816833496,0.27928996086120605,0.29149389266967773,0.3224649429321289,37,147,75,41,66,191,
424,0.3195178508758545,7,602,0.0,0.06435680389404297,0.25429701805114746,0.2763328552246094,0.2891678810119629,0.3195178508758545,37,147,75,41,66,191,
425,0.32642412185668945,7,602,0.0,0.07281303405761719,0.262437105178833,0.28478503227233887,0.2975621223449707,0.32642412185668945,37,147,75,41,66,191,
426,0.3205699920654297,7,602,0.0,0.06444907188415527,0.25421690940856934,0.2765920162200928,0.2892138957977295,0.3205699920654297,37,147,75,41,66,191,
427,0.31920289993286133,7,602,0.0,0.06345987319946289,0.2534780502319336,0.27757692337036133,0.28957200050354004,0.31920289993286133,37,147,75,41,66,191,
428,0.32012200355529785,7,602,0.0,0.0644998550415039,0.25475502014160156,0.27689385414123535,0.2886979579925537,0.32012200355529785,37,147,75,41,66,191,
429,0.31981801986694336,7,602,0.0,0.06398487091064453,0.2538418769836426,0.276047945022583,0.28812193870544434,0.31981801986694336,37,147,75,41,66,191,
430,0.32150793075561523,7,602,0.0,0.06392598152160645,0.253572940826416,0.27622389793395996,0.2895541191101074,0.32150793075561523,37,147,75,41,66,191,
431,0.31961989402770996,7,602,0.0,0.0641469955444336,0.25375795364379883,0.27585697174072266,0.28889989852905273,0.31961989402770996,37,147,75,41,66,191,
432,0.32030701637268066,7,602,0.0,0.06391501426696777,0.25370287895202637,0.27584099769592285,0.2877368927001953,0.32030701637268066,37,147,75,41,66,191,
433,0.3203909397125244,7,602,0.0,0.06412792205810547,0.25456905364990234,0.2767491340637207,0.29032206535339355,0.3203909397125244,37,147,75,41,66,191,
434,0.3212931156158447,7,602,0.0,0.06380295753479004,0.25508809089660645,0.27997303009033203,0.29220008850097656,0.3212931156158447,37,147,75,41,66,191,
435,0.31929802894592285,7,602,0.0,0.06410884857177734,0.25383496284484863,0.27593493461608887,0.289654016494751,0.31929802894592285,37,147,75,41,66,191,
436,0.320598840713501,7,602,0.0,0.06402993202209473,0.25374889373779297,0.27585697174072266,0.28867483139038086,0.320598840713501,37,147,75,41,66,191,
437,0.3206980228424072,7,602,0.0,0.06419682502746582,0.2537670135498047,0.2765469551086426,0.289715051651001,0.3206980228424072,37,147,75,41,66,191,
438,0.320465087890625,7,602,0.0,0.06391406059265137,0.25344014167785645,0.27809906005859375,0.28998804092407227,0.320465087890625,37,147,75,41,66,191,
439,0.3204360008239746,7,602,0.0,0.06404495239257812,0.25385499000549316,0.27603793144226074,0.2879610061645508,0.3204360008239746,37,147,75,41,66,191,
440,0.3199131488800049,7,602,0.0,0.06391406059265137,0.2538161277770996,0.27588796615600586,0.2887599468231201,0.3199131488800049,37,147,75,41,66,191,
441,0.31733012199401855,7,602,0.0,0.06353998184204102,0.2529721260070801,0.2750389575958252,0.2879040241241455,0.31733012199401855,37,147,75,41,66,191,
442,0.3171558380126953,7,602,0.0,0.06406092643737793,0.2539818286895752,0.2760579586029053,0.28812694549560547,0.3171558380126953,37,147,75,41,66,191,
443,0.319011926651001,7,602,0.0,0.06351804733276367,0.2526240348815918,0.27477192878723145,0.2879800796508789,0.319011926651001,37,147,75,41,66,191,
444,0.31894397735595703,7,602,0.0,0.06360912322998047,0.2537569999694824,0.27593207359313965,0.28966498374938965,0.31894397735595703,37,147,75,41,66,191,
445,0.3225100040435791,7,602,0.0,0.06373381614685059,0.25666093826293945,0.27886390686035156,0.2919459342956543,0.3225100040435791,37,147,75,41,66,191,
446,0.32011985778808594,7,602,0.0,0.06403088569641113,0.2536458969116211,0.27574706077575684,0.2877659797668457,0.32011985778808594,37,147,75,41,66,191,
447,0.3224599361419678,7,602,0.0,0.06400799751281738,0.2538180351257324,0.2815721035003662,0.2931809425354004,0.3224599361419678,37,147,75,41,66,191,
448,0.3167281150817871,7,602,0.0,0.06417012214660645,0.25351500511169434,0.27553510665893555,0.2872920036315918,0.3167281150817871,37,147,75,41,66,191,
449,0.3177170753479004,7,602,0.0,0.06411218643188477,0.2538430690765381,0.2758290767669678,0.2887401580810547,0.3177170753479004,37,147,75,41,66,191,
450,0.3300340175628662,7,602,0.0,0.06425905227661133,0.2545950412750244,0.2781810760498047,0.29142117500305176,0.3300340175628662,37,147,75,41,66,191,
451,0.317202091217041,7,602,0.0,0.06334400177001953,0.25286197662353516,0.2750680446624756,0.2873060703277588,0.317202091217041,37,147,75,41,66,191,
452,0.3223600387573242,7,602,0.0,0.06416106224060059,0.2545790672302246,0.2790701389312744,0.29099512100219727,0.3223600387573242,37,147,75,41,66,191,
453,0.3227508068084717,7,602,0.0,0.06353592872619629,0.2534170150756836,0.2800757884979248,0.29183077812194824,0.3227508068084717,37,147,75,41,66,191,
454,0.3206779956817627,7,602,0.0,0.06392598152160645,0.2538180351257324,0.27593493461608887,0.2888369560241699,0.3206779956817627,37,147,75,41,66,191,
455,0.3180580139160156,7,602,0.0,0.06341886520385742,0.253450870513916,0.2754709720611572,0.287322998046875,0.3180580139160156,37,147,75,41,66,191,
456,0.3210771083831787,7,602,0.0,0.06397199630737305,0.253615140914917,0.27707505226135254,0.28957200050354004,0.3210771083831787,37,147,75,41,66,191,
457,0.3237478733062744,7,602,0.0,0.0638589859008789,0.2537379264831543,0.27965688705444336,0.29265499114990234,0.3237478733062744,37,147,75,41,66,191,
458,0.31966710090637207,7,602,0.0,0.06403398513793945,0.2534489631652832,0.2755110263824463,0.2880361080169678,0.31966710090637207,37,147,75,41,66,191,
459,0.3216979503631592,7,602,0.0,0.06412482261657715,0.25392794609069824,0.2760930061340332,0.2895808219909668,0.3216979503631592,37,147,75,41,66,191,
460,0.31969308853149414,7,602,0.0,0.06416821479797363,0.2543201446533203,0.27640509605407715,0.28818511962890625,0.31969308853149414,37,147,75,41,66,191,
461,0.32093191146850586,7,602,0.0,0.06397700309753418,0.2537038326263428,0.27581787109375,0.28862595558166504,0.32093191146850586,37,147,75,41,66,191,
462,0.32900500297546387,7,602,0.0,0.0638740062713623,0.25357913970947266,0.28539299964904785,0.2968180179595947,0.32900500297546387,37,147,75,41,66,191,
463,0.3207688331604004,7,602,0.0,0.06400799751281738,0.25412893295288086,0.2763688564300537,0.28841495513916016,0.3207688331604004,37,147,75,41,66,191,
464,0.3269028663635254,7,602,0.0,0.0639958381652832,0.264538049697876,0.28633594512939453,0.29808592796325684,0.3269028663635254,37,147,75,41,66,191,
465,0.31902217864990234,7,602,0.0,0.06415820121765137,0.2538480758666992,0.2759840488433838,0.2876400947570801,0.31902217864990234,37,147,75,41,66,191,
466,0.320324182510376,7,602,0.0,0.06399297714233398,0.2539069652557373,0.2760641574859619,0.2907991409301758,0.320324182510376,37,147,75,41,66,191,
467,0.31916379928588867,7,602,0.0,0.0641169548034668,0.2547738552093506,0.27698493003845215,0.28943896293640137,0.31916379928588867,37,147,75,41,66,191,
468,0.32016992568969727,7,602,0.0,0.06413388252258301,0.254270076751709,0.2764289379119873,0.28937602043151855,0.32016992568969727,37,147,75,41,66,191,
469,0.31861209869384766,7,602,0.0,0.06386399269104004,0.25348496437072754,0.27556300163269043,0.288114070892334,0.31861209869384766,37,147,75,41,66,191,
470,0.318087100982666,7,602,0.0,0.06416606903076172,0.25453996658325195,0.2766399383544922,0.28873705863952637,0.318087100982666,37,147,75,41,66,191,
471,0.3206040859222412,7,602,0.0,0.06413602828979492,0.25396013259887695,0.27602410316467285,0.2877171039581299,0.3206040859222412,37,147,75,41,66,191,
472,0.31867480278015137,7,602,0.0,0.06327581405639648,0.25301480293273926,0.2751319408416748,0.2870159149169922,0.31867480278015137,37,147,75,41,66,191,
473,0.3196430206298828,7,602,0.0,0.06391000747680664,0.2537100315093994,0.2770500183105469,0.2889111042022705,0.3196430206298828,37,147,75,41,66,191,
474,0.32103610038757324,7,602,0.0,0.06483912467956543,0.2579939365386963,0.2802391052246094,0.29317402839660645,0.32103610038757324,37,147,75,41,66,191,
475,0.3196530342102051,7,602,0.0,0.06413912773132324,0.25415802001953125,0.27625107765197754,0.28806304931640625,0.3196530342102051,37,147,75,41,66,191,
476,0.3201630115509033,7,602,0.0,0.06399703025817871,0.2535831928253174,0.27567505836486816,0.29088902473449707,0.3201630115509033,37,147,75,41,66,191,
477,0.3198277950286865,7,602,0.0,0.06391692161560059,0.25354981422424316,0.27555179595947266,0.2885928153991699,0.3198277950286865,37,147,75,41,66,191,
478,0.32048487663269043,7,602,0.0,0.0640878677368164,0.25444984436035156,0.27664899826049805,0.29044485092163086,0.32048487663269043,37,147,75,41,66,191,
479,0.31768298149108887,7,602,0.0,0.06403589248657227,0.2538139820098877,0.27593398094177246,0.28943490982055664,0.31768298149108887,37,147,75,41,66,191,
480,0.3236880302429199,7,602,0.0,0.06361103057861328,0.2537050247192383,0.28049802780151367,0.2938251495361328,0.3236880302429199,37,147,75,41,66,191,
481,0.32193994522094727,7,602,0.0,0.06410789489746094,0.2541930675506592,0.27628397941589355,0.28783202171325684,0.32193994522094727,37,147,75,41,66,191,
482,0.3196108341217041,7,602,0.0,0.06415796279907227,0.2540318965911865,0.27611684799194336,0.28780388832092285,0.3196108341217041,37,147,75,41,66,191,
483,0.3180520534515381,7,602,0.0,0.06377816200256348,0.2534630298614502,0.2755560874938965,0.2872810363769531,0.3180520534515381,37,147,75,41,66,191,
484,0.3182709217071533,7,602,0.0,0.0635979175567627,0.25486302375793457,0.2769489288330078,0.2895479202270508,0.3182709217071533,37,147,75,41,66,191,
485,0.3199279308319092,7,602,0.0,0.06415390968322754,0.2541520595550537,0.2763829231262207,0.28820204734802246,0.3199279308319092,37,147,75,41,66,191,
486,0.31963491439819336,7,602,0.0,0.06378388404846191,0.253216028213501,0.2764878273010254,0.2898709774017334,0.31963491439819336,37,147,75,41,66,191,
487,0.3167569637298584,7,602,0.0,0.06373310089111328,0.2534489631652832,0.27550697326660156,0.28740692138671875,0.3167569637298584,37,147,75,41,66,191,
488,0.32055211067199707,7,602,0.0,0.06398820877075195,0.2534670829772949,0.27552008628845215,0.28829216957092285,0.32055211067199707,37,147,75,41,66,191,
489,0.320220947265625,7,602,0.0,0.06370186805725098,0.25388097763061523,0.2760598659515381,0.28894686698913574,0.320220947265625,37,147,75,41,66,191,
490,0.31931495666503906,7,602,0.0,0.06397294998168945,0.25347113609313965,0.275576114654541,0.2884650230407715,0.31931495666503906,37,147,75,41,66,191,
491,0.318605899810791,7,602,0.0,0.06406283378601074,0.2537047863006592,0.2757859230041504,0.28763890266418457,0.318605899810791,37,147,75,41,66,191,
492,0.320512056350708,7,602,0.0,0.06350088119506836,0.2539529800415039,0.27612805366516113,0.2895820140838623,0.320512056350708,37,147,75,41,66,191,
493,0.31906604766845703,7,602,0.0,0.06397604942321777,0.25359296798706055,0.27565598487854004,0.28746485710144043,0.31906604766845703,37,147,75,41,66,191,
494,0.3194410800933838,7,602,0.0,0.06385302543640137,0.25373196601867676,0.27594590187072754,0.2878139019012451,0.3194410800933838,37,147,75,41,66,191,
495,0.31882596015930176,7,602,0.0,0.06397604942321777,0.2539689540863037,0.27607297897338867,0.2889859676361084,0.31882596015930176,37,147,75,41,66,191,
496,0.31741881370544434,7,602,0.0,0.06392788887023926,0.25368690490722656,0.27573490142822266,0.28876185417175293,0.31741881370544434,37,147,75,41,66,191,
