Sample number,Total handshake duration (s),Total handshake packets,Total handshake size (B),Time MasterInformationBlock (s),Time SIB1 (s),Time SIB2 SIB3 (s),Time RRCConnectionRequest (s),Time RRCConnectionSetup (s),Time RRCConnectionSetupComplete (s),Size MasterInformationBlock (B),Size SIB1 (B),Size SIB2 SIB3 (B),Size RRCConnectionRequest (B),Size RRCConnectionSetup (B),Size RRCConnectionSetupComplete (B),
1977,0.3237159252166748,7,602,0.0,0.08062100410461426,0.2566649913787842,0.2800619602203369,0.29326796531677246,0.3237159252166748,37,147,75,41,66,191,
1978,0.35300588607788086,7,602,0.0,0.09744691848754883,0.28292083740234375,0.3077850341796875,0.32180190086364746,0.35300588607788086,37,147,75,41,66,191,
1979,0.3364419937133789,7,602,0.0,0.09263014793395996,0.2692601680755615,0.2927839756011963,0.30632495880126953,0.3364419937133789,37,147,75,41,66,191,
1980,0.32369017601013184,7,602,0.0,0.08028602600097656,0.25672197341918945,0.28014516830444336,0.2937901020050049,0.32369017601013184,37,147,75,41,66,191,
1981,0.34770798683166504,7,602,0.0,0.09709692001342773,0.27979397773742676,0.30354785919189453,0.31607794761657715,0.34770798683166504,37,147,75,41,66,191,
1982,0.3450450897216797,7,602,0.0,0.09367704391479492,0.27651500701904297,0.3005831241607666,0.3142859935760498,0.3450450897216797,37,147,75,41,66,191,
1983,0.33854198455810547,7,602,0.0,0.08457088470458984,0.26990294456481934,0.29421091079711914,0.3080179691314697,0.33854198455810547,37,147,75,41,66,191,
1984,0.34497904777526855,7,602,0.0,0.09683489799499512,0.2775459289550781,0.3011929988861084,0.3147869110107422,0.34497904777526855,37,147,75,41,66,191,
1985,0.35101985931396484,7,602,0.0,0.09621095657348633,0.2816009521484375,0.30594491958618164,0.319796085357666,0.35101985931396484,37,147,75,41,66,191,
1986,0.32573914527893066,7,602,0.0,0.09694814682006836,0.2562839984893799,0.2809171676635742,0.2948000431060791,0.32573914527893066,37,147,75,41,66,191,
1987,0.3411710262298584,7,602,0.0,0.09351110458374023,0.2738349437713623,0.2976820468902588,0.3113429546356201,0.3411710262298584,37,147,75,41,66,191,
1988,0.32396793365478516,7,602,0.0,0.080657958984375,0.2562689781188965,0.279620885848999,0.29409003257751465,0.32396793365478516,37,147,75,41,66,191,
1989,0.3512001037597656,7,602,0.0,0.09824299812316895,0.2824420928955078,0.3062570095062256,0.31987810134887695,0.3512001037597656,37,147,75,41,66,191,
1990,0.33721208572387695,7,602,0.0,0.09180998802185059,0.2694411277770996,0.2929110527038574,0.3054230213165283,0.33721208572387695,37,147,75,41,66,191,
1991,0.3503999710083008,7,602,0.0,0.09676909446716309,0.2821500301361084,0.3065969944000244,0.3205299377441406,0.3503999710083008,37,147,75,41,66,191,
1992,0.3538060188293457,7,602,0.0,0.09839391708374023,0.2836329936981201,0.30777883529663086,0.32187795639038086,0.3538060188293457,37,147,75,41,66,191,
1993,0.3370199203491211,7,602,0.0,0.08373403549194336,0.2682778835296631,0.2925100326538086,0.3064298629760742,0.3370199203491211,37,147,75,41,66,191,
1994,0.351254940032959,7,602,0.0,0.09671497344970703,0.28121304512023926,0.3057980537414551,0.3196830749511719,0.351254940032959,37,147,75,41,66,191,
1995,0.34879493713378906,7,602,0.0,0.09509682655334473,0.2805030345916748,0.30498790740966797,0.3187389373779297,0.34879493713378906,37,147,75,41,66,191,
1996,0.3377978801727295,7,602,0.0,0.09256982803344727,0.2713968753814697,0.29407596588134766,0.3072998523712158,0.3377978801727295,37,147,75,41,66,191,
1997,0.3472628593444824,7,602,0.0,0.09813690185546875,0.2795529365539551,0.3032407760620117,0.3167538642883301,0.3472628593444824,37,147,75,41,66,191,
1998,0.31094813346862793,7,602,0.0,0.09238195419311523,0.2441861629486084,0.2676880359649658,0.28116297721862793,0.31094813346862793,37,147,75,41,66,191,
1999,0.3604409694671631,7,602,0.0,0.0998070240020752,0.2912790775299072,0.3162879943847656,0.33010196685791016,0.3604409694671631,37,147,75,41,66,191,
2000,0.3512308597564697,7,602,0.0,0.09685087203979492,0.28115200996398926,0.30576300621032715,0.3197808265686035,0.3512308597564697,37,147,75,41,66,191,
2001,0.3585479259490967,7,602,0.0,0.09860897064208984,0.29032206535339355,0.31481504440307617,0.328563928604126,0.3585479259490967,37,147,75,41,66,191,
2002,0.3501560688018799,7,602,0.0,0.09717702865600586,0.2816050052642822,0.3055410385131836,0.3191690444946289,0.3501560688018799,37,147,75,41,66,191,
2003,0.3227059841156006,7,602,0.0,0.09591984748840332,0.2548818588256836,0.2785627841949463,0.2922399044036865,0.3227059841156006,37,147,75,41,66,191,
2004,0.34938502311706543,7,602,0.0,0.06959390640258789,0.2795069217681885,0.304379940032959,0.31874799728393555,0.34938502311706543,37,147,75,41,66,191,
2005,0.3500180244445801,7,602,0.0,0.09435915946960449,0.27974915504455566,0.3041999340057373,0.3181791305541992,0.3500180244445801,37,147,75,41,66,191,
2006,0.338176965713501,7,602,0.0,0.08388805389404297,0.26779603958129883,0.29235410690307617,0.30629706382751465,0.338176965713501,37,147,75,41,66,191,
2007,0.3514120578765869,7,602,0.0,0.09660196304321289,0.2811880111694336,0.3057849407196045,0.31980013847351074,0.3514120578765869,37,147,75,41,66,191,
2008,0.35652899742126465,7,602,0.0,0.09589314460754395,0.288053035736084,0.31264305114746094,0.32648801803588867,0.35652899742126465,37,147,75,41,66,191,
2009,0.351269006729126,7,602,0.0,0.09668087959289551,0.28229498863220215,0.3067209720611572,0.32052087783813477,0.351269006729126,37,147,75,41,66,191,
2010,0.3369331359863281,7,602,0.0,0.08401799201965332,0.26826906204223633,0.29253697395324707,0.3064291477203369,0.3369331359863281,37,147,75,41,66,191,
2011,0.3520238399505615,7,602,0.0,0.09810495376586914,0.28291797637939453,0.3080458641052246,0.32169198989868164,0.3520238399505615,37,147,75,41,66,191,
2012,0.35054802894592285,7,602,0.0,0.09632396697998047,0.28159594535827637,0.30607104301452637,0.31975603103637695,0.35054802894592285,37,147,75,41,66,191,
2013,0.3500828742980957,7,602,0.0,0.0967409610748291,0.28145480155944824,0.30574584007263184,0.31975483894348145,0.3500828742980957,37,147,75,41,66,191,
2014,0.3526580333709717,7,602,0.0,0.09828996658325195,0.28447699546813965,0.3084988594055176,0.3221168518066406,0.3526580333709717,37,147,75,41,66,191,
2015,0.3486039638519287,7,602,0.0,0.09410691261291504,0.2798609733581543,0.3038508892059326,0.31775498390197754,0.3486039638519287,37,147,75,41,66,191,
2016,0.33743810653686523,7,602,0.0,0.09177613258361816,0.26996898651123047,0.2936670780181885,0.3070230484008789,0.33743810653686523,37,147,75,41,66,191,
2017,0.3495049476623535,7,602,0.0,0.0957789421081543,0.28039002418518066,0.30467915534973145,0.31827712059020996,0.3495049476623535,37,147,75,41,66,191,
2018,0.352463960647583,7,602,0.0,0.09770798683166504,0.2838878631591797,0.30791306495666504,0.32207798957824707,0.352463960647583,37,147,75,41,66,191,
2019,0.3502519130706787,7,602,0.0,0.0946040153503418,0.28045082092285156,0.30485987663269043,0.3186469078063965,0.3502519130706787,37,147,75,41,66,191,
2020,0.3211631774902344,7,602,0.0,0.09512901306152344,0.2522091865539551,0.2769341468811035,0.29080915451049805,0.3211631774902344,37,147,75,41,66,191,
2021,0.3518540859222412,7,602,0.0,0.09764409065246582,0.2837810516357422,0.30769991874694824,0.32149291038513184,0.3518540859222412,37,147,75,41,66,191,
2022,0.34599995613098145,7,602,0.0,0.09602093696594238,0.27724599838256836,0.30095791816711426,0.31470799446105957,0.34599995613098145,37,147,75,41,66,191,
2023,0.3496270179748535,7,602,0.0,0.09589099884033203,0.28090405464172363,0.30495500564575195,0.31847095489501953,0.3496270179748535,37,147,75,41,66,191,
2024,0.338101863861084,7,602,0.0,0.07034492492675781,0.27121806144714355,0.2946648597717285,0.3079080581665039,0.338101863861084,37,147,75,41,66,191,
2025,0.3379511833190918,7,602,0.0,0.08409619331359863,0.2688009738922119,0.2933621406555176,0.3070871829986572,0.3379511833190918,37,147,75,41,66,191,
2026,0.3523550033569336,7,602,0.0,0.09693002700805664,0.28187990188598633,0.30637598037719727,0.321397066116333,0.3523550033569336,37,147,75,41,66,191,
2027,0.3516581058502197,7,602,0.0,0.09709310531616211,0.2825751304626465,0.3071620464324951,0.3206911087036133,0.3516581058502197,37,147,75,41,66,191,
2028,0.3520970344543457,7,602,0.0,0.09714388847351074,0.28195905685424805,0.30675792694091797,0.32055187225341797,0.3520970344543457,37,147,75,41,66,191,
2029,0.3489861488342285,7,602,0.0,0.09548401832580566,0.2803189754486084,0.304764986038208,0.31815099716186523,0.3489861488342285,37,147,75,41,66,191,
2030,0.31308507919311523,7,602,0.0,0.09482502937316895,0.24630212783813477,0.2700800895690918,0.28359293937683105,0.31308507919311523,37,147,75,41,66,191,
2031,0.33638596534729004,7,602,0.0,0.09267687797546387,0.26953792572021484,0.29311490058898926,0.3064889907836914,0.33638596534729004,37,147,75,41,66,191,
2032,0.33683300018310547,7,602,0.0,0.09158778190612793,0.2687199115753174,0.29192185401916504,0.3058629035949707,0.33683300018310547,37,147,75,41,66,191,
2033,0.35126781463623047,7,602,0.0,0.0979609489440918,0.28331995010375977,0.30739283561706543,0.32066893577575684,0.35126781463623047,37,147,75,41,66,191,
2034,0.337583065032959,7,602,0.0,0.08371496200561523,0.268308162689209,0.29257798194885254,0.3064861297607422,0.337583065032959,37,147,75,41,66,191,
2035,0.3534989356994629,7,602,0.0,0.09706401824951172,0.2842559814453125,0.3088040351867676,0.3225739002227783,0.3534989356994629,37,147,75,41,66,191,
2036,0.33521604537963867,7,602,0.0,0.08305191993713379,0.26619601249694824,0.29086995124816895,0.304455041885376,0.33521604537963867,37,147,75,41,66,191,
2037,0.3381969928741455,7,602,0.0,0.08428692817687988,0.26938700675964355,0.2938690185546875,0.3076300621032715,0.3381969928741455,37,147,75,41,66,191,
2038,0.33902406692504883,7,602,0.0,0.08486294746398926,0.2703430652618408,0.2947828769683838,0.3086540699005127,0.33902406692504883,37,147,75,41,66,191,
2039,0.34995388984680176,7,602,0.0,0.09689497947692871,0.2818570137023926,0.3061649799346924,0.3198530673980713,0.34995388984680176,37,147,75,41,66,191,
2040,0.3461301326751709,7,602,0.0,0.09213519096374512,0.2760469913482666,0.30042004585266113,0.31432318687438965,0.3461301326751709,37,147,75,41,66,191,
2041,0.3512301445007324,7,602,0.0,0.09775614738464355,0.2827141284942627,0.3069760799407959,0.3208751678466797,0.3512301445007324,37,147,75,41,66,191,
2042,0.34507298469543457,7,602,0.0,0.09583306312561035,0.27715110778808594,0.3002431392669678,0.31389498710632324,0.34507298469543457,37,147,75,41,66,191,
2043,0.34806203842163086,7,602,0.0,0.09596610069274902,0.27984189987182617,0.303692102432251,0.3170769214630127,0.34806203842163086,37,147,75,41,66,191,
2044,0.3114800453186035,7,602,0.0,0.09278416633605957,0.24465012550354004,0.26807403564453125,0.2814512252807617,0.3114800453186035,37,147,75,41,66,191,
2045,0.3434641361236572,7,602,0.0,0.09555912017822266,0.2756071090698242,0.2991490364074707,0.31305909156799316,0.3434641361236572,37,147,75,41,66,191,
2046,0.35105299949645996,7,602,0.0,0.09659504890441895,0.2824270725250244,0.3064298629760742,0.3199300765991211,0.35105299949645996,37,147,75,41,66,191,
2047,0.3565659523010254,7,602,0.0,0.09751296043395996,0.28751397132873535,0.312175989151001,0.3258330821990967,0.3565659523010254,37,147,75,41,66,191,
2048,0.3374290466308594,7,602,0.0,0.08436298370361328,0.26920104026794434,0.29344797134399414,0.30716395378112793,0.3374290466308594,37,147,75,41,66,191,
2049,0.3390369415283203,7,602,0.0,0.08437991142272949,0.26966190338134766,0.29421091079711914,0.30806994438171387,0.3390369415283203,37,147,75,41,66,191,
2050,0.3513219356536865,7,602,0.0,0.09814786911010742,0.2829098701477051,0.30707383155822754,0.32112598419189453,0.3513219356536865,37,147,75,41,66,191,
2051,0.33672380447387695,7,602,0.0,0.0921778678894043,0.26968884468078613,0.2929728031158447,0.30652689933776855,0.33672380447387695,37,147,75,41,66,191,
2052,0.33621788024902344,7,602,0.0,0.09209394454956055,0.26970982551574707,0.2932438850402832,0.30646681785583496,0.33621788024902344,37,147,75,41,66,191,
2053,0.33748316764831543,7,602,0.0,0.08351516723632812,0.2687571048736572,0.2931339740753174,0.30694103240966797,0.33748316764831543,37,147,75,41,66,191,
2054,0.3505260944366455,7,602,0.0,0.09627199172973633,0.28126001358032227,0.3058171272277832,0.31917500495910645,0.3505260944366455,37,147,75,41,66,191,
2055,0.3442342281341553,7,602,0.0,0.09673023223876953,0.27485203742980957,0.2983992099761963,0.3118400573730469,0.3442342281341553,37,147,75,41,66,191,
2056,0.34548211097717285,7,602,0.0,0.09445810317993164,0.2770349979400635,0.30094408988952637,0.3149130344390869,0.34548211097717285,37,147,75,41,66,191,
2057,0.34302496910095215,7,602,0.0,0.09348392486572266,0.2747478485107422,0.2987058162689209,0.31257200241088867,0.34302496910095215,37,147,75,41,66,191,
2058,0.35014891624450684,7,602,0.0,0.09682607650756836,0.2811410427093506,0.30532097816467285,0.3202641010284424,0.35014891624450684,37,147,75,41,66,191,
2059,0.3499329090118408,7,602,0.0,0.0967099666595459,0.28200387954711914,0.3063809871673584,0.3188591003417969,0.3499329090118408,37,147,75,41,66,191,
2060,0.3499000072479248,7,602,0.0,0.09641289710998535,0.28111886978149414,0.30550408363342285,0.3191840648651123,0.3499000072479248,37,147,75,41,66,191,
2061,0.3392770290374756,7,602,0.0,0.08474516868591309,0.27010607719421387,0.2946782112121582,0.308582067489624,0.3392770290374756,37,147,75,41,66,191,
