SIB1 additional size (bytes),Time duration to transmit (milliseconds),BelowThreshold,AboveThreshold
128,806.148,,806.148
255,803.686,,803.686
8,808.597,,808.597
16,807.21,,807.21
32,782.902,782.902,
64,782.798,782.798,
128,784.275,784.275,
255,807.452,,807.452
8,806.804,,806.804
16,805.705,,805.705
32,806.891,,806.891
64,804.386,,804.386
128,803.043,,803.043
255,809.69,,809.69
8,806.993,,806.993
16,805.016,,805.016
32,784.19,784.19,
64,804.778,,804.778
128,807.502,,807.502
255,810.183,,810.183
8,805.759,,805.759
16,805.431,,805.431
32,780.685,780.685,
64,805.402,,805.402
128,804.993,,804.993
255,802.388,802.388,
8,805.832,,805.832
16,804.369,,804.369
32,807.035,,807.035
64,806.542,,806.542
128,808.546,,808.546
255,805.594,,805.594
8,804.939,,804.939
16,805.754,,805.754
32,806.048,,806.048
64,804.453,,804.453
128,806.524,,806.524
255,782.29,782.29,
8,805.397,,805.397
16,807.383,,807.383
32,805.942,,805.942
64,804.846,,804.846
128,804.519,,804.519
255,781.49,781.49,
8,807.027,,807.027
16,804.727,,804.727
32,806.099,,806.099
64,799.475,799.475,
128,784.065,784.065,
255,807.72,,807.72
8,780.918,780.918,
16,806.937,,806.937
32,805.404,,805.404
64,806.951,,806.951
128,806.108,,806.108
255,806.216,,806.216
8,807.283,,807.283
16,813.399,,813.399
32,805.617,,805.617
64,804.304,,804.304
128,806.019,,806.019
255,807.519,,807.519
8,782.106,782.106,
16,808.228,,808.228
32,804.878,,804.878
64,806.664,,806.664
128,794.747,794.747,
255,808.261,,808.261
8,805.527,,805.527
16,807.593,,807.593
32,805.109,,805.109
64,804.065,,804.065
128,806.327,,806.327
255,804.13,,804.13
8,811.358,,811.358
16,807.976,,807.976
32,804.845,,804.845
64,808.288,,808.288
128,804.577,,804.577
255,807.005,,807.005
8,783.949,783.949,
16,802.537,,802.537
32,805.387,,805.387
64,806.874,,806.874
128,802.243,802.243,
255,803.862,,803.862
8,805.852,,805.852
16,811.313,,811.313
32,783.818,783.818,
64,782.099,782.099,
128,806.272,,806.272
255,806.612,,806.612
8,799.825,799.825,
16,803.095,,803.095
32,808.036,,808.036
64,803.992,,803.992
128,806.655,,806.655
255,805.784,,805.784
8,807.444,,807.444
16,805.53,,805.53
32,804.588,,804.588
64,807.588,,807.588
128,807.425,,807.425
255,806.473,,806.473
8,803.985,,803.985
16,802.891,,802.891
32,806.631,,806.631
64,783.362,783.362,
128,804.405,,804.405
255,801.691,801.691,
8,805.186,,805.186
16,807.476,,807.476
32,807.921,,807.921
64,805.579,,805.579
128,806.735,,806.735
255,805.271,,805.271
8,783.631,783.631,
16,783.858,783.858,
32,807.327,,807.327
64,807.422,,807.422
128,810.131,,810.131
255,805.166,,805.166
8,806.92,,806.92
16,805.258,,805.258
32,782.079,782.079,
64,800.351,800.351,
128,806.138,,806.138
255,799.756,799.756,
8,807.807,,807.807
16,806.035,,806.035
32,810.461,,810.461
64,806.162,,806.162
128,812.317,,812.317
255,806.073,,806.073
8,806.77,,806.77
16,806.335,,806.335
32,805.044,,805.044
64,806.532,,806.532
128,801.432,801.432,
255,806.393,,806.393
8,805.742,,805.742
16,805.937,,805.937
32,810.035,,810.035
64,805.078,,805.078
128,805.325,,805.325
255,803.303,,803.303
8,804.79,,804.79
16,805.126,,805.126
32,807.163,,807.163
64,805.852,,805.852
128,785.349,785.349,
255,804.944,,804.944
8,803.386,,803.386
16,807.3,,807.3
32,806.831,,806.831
64,802.239,802.239,
128,806.51,,806.51
255,804.089,,804.089
8,806.749,,806.749
16,804.958,,804.958
32,783.885,783.885,
64,804.025,,804.025
128,803.326,,803.326
255,780.805,780.805,
8,802.912,802.912,
16,803.698,,803.698
32,806.863,,806.863
64,805.023,,805.023
128,805.925,,805.925
255,805.405,,805.405
8,804.551,,804.551
16,782.642,782.642,
32,816.798,,816.798
64,806.032,,806.032
128,806.44,,806.44
255,806.581,,806.581
8,805.013,,805.013
16,803.102,,803.102
32,804.9,,804.9
64,806.585,,806.585
128,778.784,778.784,
255,804.674,,804.674
8,809.568,,809.568
16,808.166,,808.166
32,781.613,781.613,
64,808.215,,808.215
128,802.661,802.661,
255,812.802,,812.802
8,805.184,,805.184
16,803.619,,803.619
32,810.045,,810.045
64,806.355,,806.355
128,784.534,784.534,
255,805.364,,805.364
8,806.314,,806.314
16,806.215,,806.215
32,804.907,,804.907
64,805.989,,805.989
128,803.951,,803.951
255,780.777,780.777,
8,806.935,,806.935
16,806.65,,806.65
32,782.881,782.881,
64,784.259,784.259,
128,799.797,799.797,
255,807.227,,807.227
8,781.194,781.194,
16,805.698,,805.698
32,804.594,,804.594
64,805.916,,805.916
128,802.491,802.491,
255,803.245,,803.245
8,805.379,,805.379
16,776.788,776.788,
32,805.121,,805.121
64,800.112,800.112,
128,780.284,780.284,
255,804.765,,804.765
8,806.077,,806.077
16,811.132,,811.132
32,782.473,782.473,
64,806.44,,806.44
128,805.323,,805.323
255,804.925,,804.925
8,785.812,785.812,
16,803.519,,803.519
32,807.217,,807.217
64,804.378,,804.378
128,806.684,,806.684
255,785.39,785.39,
8,803.776,,803.776
16,783.157,783.157,
32,815.899,,815.899
64,807.116,,807.116
128,807.802,,807.802
255,806.981,,806.981
8,805.637,,805.637
16,782.481,782.481,
32,805.225,,805.225
64,804.333,,804.333
128,805.484,,805.484
255,807.246,,807.246
8,804.518,,804.518
16,806.954,,806.954
32,803.98,,803.98
64,800.569,800.569,
128,806.949,,806.949
255,784.601,784.601,
8,807.23,,807.23
16,807.037,,807.037
32,804.431,,804.431
64,807.178,,807.178
128,805.603,,805.603
255,805.859,,805.859
8,805.786,,805.786
16,781.964,781.964,
32,802.156,802.156,
64,803.303,,803.303
128,804.222,,804.222
255,807.995,,807.995
8,802.324,802.324,
16,804.736,,804.736
32,803.345,,803.345
64,808.195,,808.195
128,784.209,784.209,
255,806.273,,806.273
8,781.78,781.78,
16,805.547,,805.547
32,806.505,,806.505
64,805.181,,805.181
128,807.625,,807.625
255,804.133,,804.133
8,782.529,782.529,
16,783.236,783.236,
32,808.14,,808.14
64,781.75,781.75,
128,810.694,,810.694
255,803.692,,803.692
8,804.048,,804.048
16,806.204,,806.204
32,781.784,781.784,
64,804.641,,804.641
128,784.979,784.979,
255,805.855,,805.855
8,804.463,,804.463
16,804.947,,804.947
32,808.141,,808.141
64,785.055,785.055,
128,804.227,,804.227
255,803.032,,803.032
8,783.366,783.366,
16,806.31,,806.31
32,784.004,784.004,
64,804.848,,804.848
128,808.496,,808.496
255,781.695,781.695,
8,805.24,,805.24
16,805.923,,805.923
32,806.547,,806.547
64,805.627,,805.627
128,800.091,800.091,
255,805.173,,805.173
8,810.059,,810.059
16,806.804,,806.804
32,782.748,782.748,
64,804.792,,804.792
128,808.587,,808.587
255,809.956,,809.956
8,807.59,,807.59
16,808.037,,808.037
32,805.102,,805.102
64,810.695,,810.695
128,805.182,,805.182
255,808.256,,808.256
8,807.71,,807.71
16,806.128,,806.128
32,807.803,,807.803
64,804.12,,804.12
128,805.092,,805.092
255,802.655,802.655,
8,802.229,802.229,
16,802.76,,802.76
32,800.352,800.352,
64,808.201,,808.201
128,805.959,,805.959
255,801.707,801.707,
8,806.709,,806.709
16,806.23,,806.23
32,809.1,,809.1
64,808.079,,808.079
128,807.533,,807.533
255,779.959,779.959,
8,807.624,,807.624
16,806.126,,806.126
32,804.928,,804.928
64,782.784,782.784,
128,804.931,,804.931
255,808.912,,808.912
8,776.863,776.863,
16,803.579,,803.579
32,787.63,787.63,
64,808.948,,808.948
128,804.818,,804.818
255,805.011,,805.011
8,804.015,,804.015
16,808.862,,808.862
32,783.899,783.899,
64,808.112,,808.112
128,780.199,780.199,
255,784.974,784.974,
8,805.997,,805.997
16,803.592,,803.592
32,786.029,786.029,
64,806.252,,806.252
128,798.554,798.554,
255,808.37,,808.37
8,811.248,,811.248
16,807.559,,807.559
32,801.403,801.403,
64,806.821,,806.821
128,808.383,,808.383
255,812.054,,812.054
8,806.394,,806.394
16,805.78,,805.78
32,805.745,,805.745
64,805.537,,805.537
128,783.797,783.797,
255,803.627,,803.627
8,805.5,,805.5
16,805.511,,805.511
32,804.049,,804.049
64,808.422,,808.422
128,806.172,,806.172
255,807.148,,807.148
8,806.344,,806.344
16,804.222,,804.222
32,805.378,,805.378
64,806.451,,806.451
128,781.224,781.224,
255,812.609,,812.609
8,805.988,,805.988
16,806.01,,806.01
32,806.581,,806.581
64,805.849,,805.849
128,808.915,,808.915
255,807.918,,807.918
8,785.139,785.139,
16,808.661,,808.661
32,783.463,783.463,
64,804.665,,804.665
128,808.498,,808.498
255,806.859,,806.859
8,806.007,,806.007
16,780.074,780.074,
32,807.129,,807.129
64,806.768,,806.768
128,811.836,,811.836
255,806.451,,806.451
8,806.622,,806.622
16,806.296,,806.296
32,782.079,782.079,
64,804.094,,804.094
128,805.171,,805.171
255,805.517,,805.517
8,809.773,,809.773
16,799.967,799.967,
32,805.187,,805.187
64,798.417,798.417,
128,808.282,,808.282
255,805.645,,805.645
8,801.115,801.115,
16,803.344,,803.344
32,804.867,,804.867
64,784.946,784.946,
128,806.089,,806.089
255,789.688,789.688,
8,806.055,,806.055
16,804.647,,804.647
32,807.719,,807.719
64,802.896,802.896,
128,808.094,,808.094
255,807.826,,807.826
8,782.799,782.799,
16,811.076,,811.076
32,806.94,,806.94
64,811.618,,811.618
128,806.997,,806.997
255,808.734,,808.734
8,804.558,,804.558
16,784.185,784.185,
32,806.674,,806.674
64,784.448,784.448,
128,805.386,,805.386
255,806.97,,806.97
8,805.221,,805.221
16,804.668,,804.668
32,806.993,,806.993
64,800.392,800.392,
128,779.474,779.474,
255,834.453,,834.453
8,805.827,,805.827
16,806.395,,806.395
32,808.871,,808.871
64,805.804,,805.804
128,783.251,783.251,
255,805.524,,805.524
8,806.064,,806.064
16,807.512,,807.512
32,801.365,801.365,
64,785.511,785.511,
128,804.706,,804.706
255,807.371,,807.371
8,811.853,,811.853
16,783.375,783.375,
32,808.012,,808.012
64,809.528,,809.528
128,782.804,782.804,
255,802.479,802.479,
8,807.026,,807.026
16,803.695,,803.695
32,806.247,,806.247
64,815.083,,815.083
128,805.469,,805.469
255,786.385,786.385,
8,798.757,798.757,
16,805.189,,805.189
32,806.183,,806.183
64,805.658,,805.658
128,808.032,,808.032
255,807.984,,807.984
8,806.259,,806.259
16,805.057,,805.057
32,804.525,,804.525
64,808.365,,808.365
128,805.327,,805.327
255,807.282,,807.282
8,808.942,,808.942
16,803.529,,803.529
32,808.698,,808.698
64,805.785,,805.785
128,806.573,,806.573
255,805.999,,805.999
8,810.899,,810.899
16,809.22,,809.22
32,805.041,,805.041
64,805.49,,805.49
128,806.067,,806.067
255,804.536,,804.536
8,807.044,,807.044
16,805.773,,805.773
32,800.198,800.198,
64,782.736,782.736,
128,788.436,788.436,
255,803.474,,803.474
8,779.855,779.855,
16,805.174,,805.174
32,804.756,,804.756
64,808.081,,808.081
128,805.46,,805.46
255,809.67,,809.67
8,802.077,802.077,
16,782.846,782.846,
32,807.801,,807.801
64,806.396,,806.396
128,808.762,,808.762
255,806.25,,806.25
8,783.68,783.68,
16,803.087,,803.087
32,807.419,,807.419
64,806.098,,806.098
128,783.177,783.177,
255,785.928,785.928,
8,806.405,,806.405
16,805.373,,805.373
32,784.439,784.439,
64,805.269,,805.269
128,805.652,,805.652
255,804.041,,804.041
8,810.174,,810.174
16,804.485,,804.485
32,809.386,,809.386
64,806.486,,806.486
128,784.689,784.689,
255,804.623,,804.623
8,805.018,,805.018
16,808.288,,808.288
32,783.703,783.703,
64,782.761,782.761,
128,803.18,,803.18
255,781.696,781.696,
8,808.236,,808.236
16,783.944,783.944,
32,808.39,,808.39
64,803.853,,803.853
128,806.993,,806.993
255,810.611,,810.611
8,782.576,782.576,
16,804.291,,804.291
32,805.21,,805.21
64,803.943,,803.943
128,806.028,,806.028
255,802.804,,802.804
8,781.529,781.529,
16,807.282,,807.282
32,805.135,,805.135
64,808.869,,808.869
128,800.141,800.141,
255,805.844,,805.844
8,805.936,,805.936
16,783.993,783.993,
32,781.83,781.83,
64,805.011,,805.011
128,802.128,802.128,
255,804.286,,804.286
8,805.271,,805.271
16,804.129,,804.129
32,806.165,,806.165
64,802.556,802.556,
128,780.732,780.732,
255,801.421,801.421,
8,805.739,,805.739
16,801.751,801.751,
32,804.674,,804.674
64,783.218,783.218,
128,774.146,774.146,
255,806.465,,806.465
8,807.783,,807.783
16,804.429,,804.429
32,783.24,783.24,
64,801.452,801.452,
128,802.268,802.268,
255,803.424,,803.424
8,806.235,,806.235
16,811.2,,811.2
32,802.104,802.104,
64,803.537,,803.537
128,805.338,,805.338
255,803.086,,803.086
8,781.304,781.304,
16,802.299,,802.299
32,805.615,,805.615
64,806.857,,806.857
128,807.81,,807.81
255,808.828,,808.828
8,804.731,,804.731
16,803.138,,803.138
32,807.658,,807.658
64,805.673,,805.673
128,784.003,784.003,
255,804.912,,804.912
8,803.804,,803.804
16,779.757,779.757,
32,802.813,,802.813
64,805.065,,805.065
128,804.92,,804.92
255,802.115,802.115,
8,804.814,,804.814
16,806.655,,806.655
32,805.933,,805.933
64,805.808,,805.808
128,804.39,,804.39
255,783.264,783.264,
8,802.754,802.754,
16,803.212,,803.212
32,804.649,,804.649
64,805.504,,805.504
128,803.582,,803.582
255,803.195,,803.195
8,804.234,,804.234
16,784.971,784.971,
32,803.91,,803.91
64,805.192,,805.192
128,804.887,,804.887
255,805.776,,805.776
8,808.126,,808.126
16,804.869,,804.869
32,803.902,,803.902
64,804.635,,804.635
128,804.689,,804.689
255,805.065,,805.065
8,804.465,,804.465
16,803.252,,803.252
32,779.54,779.54,
64,806.23,,806.23
128,805.166,,805.166
255,808.898,,808.898
8,803.799,,803.799
16,806.779,,806.779
32,777.982,777.982,
64,802.7,802.7,
128,808.532,,808.532
255,781.489,781.489,
8,805.769,,805.769
16,804.884,,804.884
32,800.052,800.052,
64,804.923,,804.923
128,803.328,,803.328
255,803.56,,803.56
8,806.464,,806.464
16,804.509,,804.509
32,801.596,801.596,
64,783.152,783.152,
128,801.911,801.911,
255,802.627,802.627,
8,804.874,,804.874
16,804.075,,804.075
32,807.085,,807.085
64,805.012,,805.012
128,781.37,781.37,
255,806.783,,806.783
