Sample number,Total handshake duration (s),Total handshake packets,Total handshake size (B),Time MasterInformationBlock (s),Time SIB1 (s),Time SIB2 SIB3 (s),Time RRCConnectionRequest (s),Time RRCConnectionSetup (s),Time RRCConnectionSetupComplete (s),Size MasterInformationBlock (B),Size SIB1 (B),Size SIB2 SIB3 (B),Size RRCConnectionRequest (B),Size RRCConnectionSetup (B),Size RRCConnectionSetupComplete (B),
620,1.2249090671539307,7,582,0.0,0.09503698348999023,1.1562209129333496,1.1806550025939941,1.1944489479064941,1.2249090671539307,37,127,75,41,66,191,
621,1.2222621440887451,7,582,0.0,0.09671807289123535,1.1544320583343506,1.1783130168914795,1.1929750442504883,1.2222621440887451,37,127,75,41,66,191,
622,1.2086901664733887,7,582,0.0,0.09469914436340332,1.14017915725708,1.164485216140747,1.1783461570739746,1.2086901664733887,37,127,75,41,66,191,
623,1.201970100402832,7,582,0.0,0.0933990478515625,1.1342201232910156,1.1581740379333496,1.1717021465301514,1.201970100402832,37,127,75,41,66,191,
624,1.2043790817260742,7,582,0.0,0.09659099578857422,1.135632038116455,1.159980058670044,1.1739599704742432,1.2043790817260742,37,127,75,41,66,191,
625,1.158444881439209,7,582,0.0,0.09248900413513184,1.0947518348693848,1.1172308921813965,1.130072832107544,1.158444881439209,37,127,75,41,66,191,
626,1.1956870555877686,7,582,0.0,0.09748601913452148,1.1273138523101807,1.1518340110778809,1.1652638912200928,1.1956870555877686,37,127,75,41,66,191,
627,1.180328130722046,7,582,0.0,0.09855103492736816,1.1101491451263428,1.135202169418335,1.1494691371917725,1.180328130722046,37,127,75,41,66,191,
628,1.1831169128417969,7,582,0.0,0.09710812568664551,1.1143550872802734,1.138688087463379,1.1525731086730957,1.1831169128417969,37,127,75,41,66,191,
629,1.1255829334259033,7,582,0.0,0.0965888500213623,1.0578899383544922,1.0820419788360596,1.095674991607666,1.1255829334259033,37,127,75,41,66,191,
630,1.1641719341278076,7,582,0.0,0.09412288665771484,1.0957999229431152,1.1198339462280273,1.133868932723999,1.1641719341278076,37,127,75,41,66,191,
631,1.1205098628997803,7,582,0.0,0.09688282012939453,1.052398920059204,1.0764789581298828,1.0905859470367432,1.1205098628997803,37,127,75,41,66,191,
632,1.1700990200042725,7,582,0.0,0.09673309326171875,1.1011261940002441,1.125495195388794,1.1398050785064697,1.1700990200042725,37,127,75,41,66,191,
633,1.1552050113677979,7,582,0.0,0.09107089042663574,1.0868818759918213,1.1106858253479004,1.1253960132598877,1.1552050113677979,37,127,75,41,66,191,
634,1.1666162014007568,7,582,0.0,0.09749698638916016,1.0992891788482666,1.1229660511016846,1.1364071369171143,1.1666162014007568,37,127,75,41,66,191,
635,1.1553878784179688,7,582,0.0,0.09318804740905762,1.087155818939209,1.1104929447174072,1.1245448589324951,1.1553878784179688,37,127,75,41,66,191,
636,1.1583619117736816,7,582,0.0,0.09345483779907227,1.0907809734344482,1.1142280101776123,1.1290149688720703,1.1583619117736816,37,127,75,41,66,191,
637,1.1782808303833008,7,582,0.0,0.09682703018188477,1.1095819473266602,1.133847951889038,1.1479079723358154,1.1782808303833008,37,127,75,41,66,191,
638,1.1310110092163086,7,582,0.0,0.09371089935302734,1.0617640018463135,1.086190938949585,1.1006579399108887,1.1310110092163086,37,127,75,41,66,191,
639,1.1952550411224365,7,582,0.0,0.0972299575805664,1.1269400119781494,1.1514370441436768,1.165241003036499,1.1952550411224365,37,127,75,41,66,191,
640,1.2440710067749023,7,582,0.0,0.09623289108276367,1.1753649711608887,1.1997108459472656,1.2137629985809326,1.2440710067749023,37,127,75,41,66,191,
641,1.1421351432800293,7,582,0.0,0.09232711791992188,1.0785980224609375,1.100938081741333,1.1138131618499756,1.1421351432800293,37,127,75,41,66,191,
642,1.1693589687347412,7,582,0.0,0.09625005722045898,1.1016409397125244,1.125952959060669,1.1398060321807861,1.1693589687347412,37,127,75,41,66,191,
643,1.2114448547363281,7,582,0.0,0.0968928337097168,1.1425268650054932,1.1670968532562256,1.1809329986572266,1.2114448547363281,37,127,75,41,66,191,
644,1.2063679695129395,7,582,0.0,0.09192705154418945,1.1424529552459717,1.1642489433288574,1.177340030670166,1.2063679695129395,37,127,75,41,66,191,
645,1.2463560104370117,7,582,0.0,0.09534692764282227,1.177785873413086,1.202322006225586,1.2161037921905518,1.2463560104370117,37,127,75,41,66,191,
646,1.2269389629364014,7,582,0.0,0.09556102752685547,1.1583540439605713,1.1827280521392822,1.1965880393981934,1.2269389629364014,37,127,75,41,66,191,
647,1.2231709957122803,7,582,0.0,0.09718894958496094,1.153904914855957,1.178447961807251,1.1923739910125732,1.2231709957122803,37,127,75,41,66,191,
648,1.1952488422393799,7,582,0.0,0.09597301483154297,1.127310037612915,1.151597023010254,1.165320873260498,1.1952488422393799,37,127,75,41,66,191,
649,1.2011229991912842,7,582,0.0,0.09629702568054199,1.1328508853912354,1.1572849750518799,1.1718418598175049,1.2011229991912842,37,127,75,41,66,191,
650,1.2225430011749268,7,582,0.0,0.09590792655944824,1.1542470455169678,1.1783709526062012,1.1921379566192627,1.2225430011749268,37,127,75,41,66,191,
